code;Situation;Alternance;Niveau formation;complement;promo
6;Licence Pro;En formation initiale;Licence Professionnelle ou Bac+3 professionnalisant;LP;2019
52;Licence Pro;En contrat d'apprentissage;Licence Professionnelle ou Bac+3 professionnalisant;LP;2019
31;Licence Pro;En formation initiale;Licence Professionnelle ou Bac+3 professionnalisant;LP;2019
107;Licence Pro;En contrat d'apprentissage;Licence Professionnelle ou Bac+3 professionnalisant;LP;2019
80;Etudes longues;En contrat d'apprentissage;L3, Ecole d'ingénieur;Univ Publique;2019
155;Licence Pro;En contrat de professionnalisation;Licence Professionnelle ou Bac+3 professionnalisant;LP;2019
14;Emploi / Recherche d'emploi;;;;2019
162;Licence Pro;En formation initiale;Licence Professionnelle ou Bac+3 professionnalisant;LP;2019
57;Etudes longues;En formation initiale;L3, Ecole d'ingénieur;Univ Publique;2019
90;Licence Pro;En contrat d'apprentissage;Licence Professionnelle ou Bac+3 professionnalisant;LP;2019
183;Licence Pro;;Licence Professionnelle ou Bac+3 professionnalisant;LP;2019
230;Etudes longues;En formation initiale;L3, Ecole d'ingénieur;Ecole Privée;2019
5;Licence Pro;En contrat de professionnalisation;Licence Professionnelle ou Bac+3 professionnalisant;LP;2019
198;Emploi / Recherche d'emploi;;;;2019
129;Etudes longues;En formation initiale;L2, année spéciale,...;Univ Publique;2019
224;Etudes longues;En formation initiale;L2, année spéciale,...;Univ Publique;2019
93;Etudes longues;En contrat d'apprentissage;L3, Ecole d'ingénieur;Ecole Ingénieur Publique;2019
22;Licence Pro;En contrat d'apprentissage;;LP;2019
154;Emploi / Recherche d'emploi;;;;2019
36;Etudes longues;En contrat d'apprentissage;L3, Ecole d'ingénieur;Ecole Privée;2019
221;Emploi / Recherche d'emploi;;;;2019
227;Licence Pro;En contrat d'apprentissage;Licence Professionnelle ou Bac+3 professionnalisant;LP;2019
156;Licence Pro;En formation initiale;Licence Professionnelle ou Bac+3 professionnalisant;LP;2019
30;année sabbatique;;;;2018
97;Etudes longues;En contrat d'apprentissage;L3, Ecole d'ingénieur;Ecole Ingénieur Publique;2018
143;Etudes longues;En formation initiale;L3, Ecole d'ingénieur;Univ Publique;2018
65;année sabbatique;;;;2018
219;Licence Pro;En formation initiale;Licence Professionnelle ou Bac+3 professionnalisant;LP;2018
4;réorientation;En formation initiale;Réorientation (1ère année);Ecole Privée;2018
164;réorientation;En formation initiale;Réorientation (1ère année);Ecole Privée;2018
194;Etudes longues;En formation initiale;L3, Ecole d'ingénieur;Ecole Ingénieur Publique;2018
160;Licence Pro;En contrat de professionnalisation;Licence Professionnelle ou Bac+3 professionnalisant;LP;2018
233;Emploi / Recherche d'emploi;;;;2018
103;Etudes longues;En formation initiale;L3, Ecole d'ingénieur;Ecole Privée;2018
81;Etudes longues;En formation initiale;L3, Ecole d'ingénieur;Ecole Ingénieur Publique;2018
249;Etudes longues;En contrat de professionnalisation;L3, Ecole d'ingénieur;Ecole Privée;2018
128;Etudes longues;En formation initiale;L3, Ecole d'ingénieur;Univ Publique;2018
145;Licence Pro;En contrat de professionnalisation;Licence Professionnelle ou Bac+3 professionnalisant;LP;2018
12;Etudes longues;En contrat d'apprentissage;L3, Ecole d'ingénieur;Ecole Ingénieur Publique;2018
21;Etudes longues;En formation initiale;L3, Ecole d'ingénieur;Ecole Ingénieur Publique;2018
238;Licence Pro;En formation initiale;Licence Professionnelle ou Bac+3 professionnalisant;LP;2018
84;Etudes longues;En contrat d'apprentissage;L3, Ecole d'ingénieur;Ecole Ingénieur Publique;2018
225;Emploi / Recherche d'emploi;;;;2018
46;Licence Pro;En contrat de professionnalisation;Licence Professionnelle ou Bac+3 professionnalisant;LP;2018
109;Etudes longues;En formation initiale;L3, Ecole d'ingénieur;Ecole Privée;2018
74;Etudes longues;En formation initiale;L3, Ecole d'ingénieur;Univ Publique;2018
124;Licence Pro;En contrat de professionnalisation;Licence Professionnelle ou Bac+3 professionnalisant;LP;2018
146;Licence Pro;En formation initiale;Licence Professionnelle ou Bac+3 professionnalisant;LP;2018
23;Etudes longues;En formation initiale;L3, Ecole d'ingénieur;Univ Publique;2018
42;Etudes longues;En formation initiale;L3, Ecole d'ingénieur;Univ Publique;2018
2;Etudes longues;En formation initiale;L3, Ecole d'ingénieur;Ecole Ingénieur Publique;2018
188;Etudes longues;En formation initiale;L2, année spéciale,...;Univ Publique;2018
117;Etudes longues;En formation initiale;L2, année spéciale,...;Univ Publique;2018
173;Etudes longues;En formation initiale;L3, Ecole d'ingénieur;Univ Publique;2018
1;Etudes longues;En formation initiale;L3, Ecole d'ingénieur;Ecole Ingénieur Publique;2018
62;Emploi / Recherche d'emploi;;;;2018
